feature,importance_mean,importance_std
f_14,0.1662098268334739,0.018666196040335873
f_7,0.04166544373922291,0.004934919810130186
f_4,0.040814630186740926,0.005705008728666903
f_17,0.02309819495909306,0.004853752011536505
f_18,0.01573632461386058,0.002610794004211358
f_8,0.011990153905418782,0.0050163145859672305
f_16,0.007419539017500065,0.003306970016413867
f_11,0.007289526543640107,0.003722652386817579
f_1,0.0011957937410572827,0.0006530642280487394
f_9,0.0006165847305279415,0.0010266582213880708
f_13,0.0002435154272296347,0.0018053538937527432
f_12,0.0,0.0
f_2,0.0,0.0
f_6,0.0,0.0
f_5,0.0,0.0
f_15,0.0,0.0
f_10,0.0,0.0
f_0,-0.00020980848956233533,0.00015907378489719086
f_3,-0.001528621088160881,0.001085595582960667
